Exp_time,Van,OC6,FP1_emit1
5.28E-05,0,0,0.045563853
0.016730556,0,0,0.04540855
0.033413889,0,0,0.045471818
0.050097222,0,0,0.045316456
0.066777778,0,0,0.045408931
0.083463889,0,0,0.045922208
0.100141667,0,0,0.045414628
0.116827778,0,0,0.045471674
0.133505556,0,0,0.045380673
0.150186111,0,0,0.045129748
0.166863889,0,0,0.045585834
0.183541667,0,0,0.04519774
0.200219444,0,0,0.045342533
0.216916667,0,0,0.043757232
0.233597222,0,0,0.043950253
0.250280556,0,0,0.044205369
0.266977778,0,0,0.043823038
0.283661111,0,0,0.043871647
0.300344444,0,0,0.043671278
0.317027778,0,0,0.043997486
0.333711111,0,0,0.043724442
0.350394444,0,0,0.04358922
0.367075,0,0,0.04415011
0.383752778,0,0,0.044010036
0.400447222,0,0,0.043070405
0.417144444,0,0,0.043684319
0.433825,0,0,0.04413606
0.450508333,0,0,0.043496018
0.467186111,0,0,0.04326391
0.483863889,0,0,0.043579609
0.500544444,0,0,0.043398719
0.517227778,0,0,0.043367865
0.533908333,0,0,0.043112091
0.550591667,0,0,0.043146699
0.567269444,0,0,0.043204949
0.583952778,0,0,0.043307878
0.60065,0,0,0.043052257
0.617333333,0,0,0.043066062
0.634008333,0,0,0.043230831
0.650688889,0,0,0.043287889
0.667366667,0,0,0.043034997
0.684044444,0,0,0.043087445
0.70075,0,0,0.043043436
0.717444444,0,0,0.042723503
0.734119444,0,0,0.042518939
0.750819444,0,0,0.042902696
0.767497222,0,0,0.042411134
0.784183333,0,0,0.042062671
0.800872222,0,0,0.042704965
0.817555556,0,0,0.042242991
0.834238889,0,0,0.042007537
0.850938889,0,0,0.042093603
0.867625,0,0,0.042172583
0.884313889,0,0,0.042600897
0.901,0,0,0.041972141
0.917702778,0,0,0.042104285
0.934405556,0,0,0.041636883
0.951086111,0,0,0.041943408
0.967763889,0,0,0.042261302
0.984461111,0,0,0.041719803
1.001155556,0,0,0.041891892
1.017844444,0,0,0.041662989
1.034536111,0,0,0.041391458
1.051219444,0,0,0.041543027
1.067894444,0,0,0.041630226
1.084577778,0,0,0.041576627
1.101263889,0,0,0.041556844
1.11795,0,0,0.041117145
1.13465,0,0,0.041532153
1.151327778,0,0,0.041368612
1.168013889,0,0,0.041761314
1.1847,0,0,0.040838304
1.201380556,0,0,0.040936156
1.218069444,0,0,0.041058166
1.23475,0,0,0.040531829
1.251444444,0,0,0.040718854
1.268133333,0,0,0.040854757
1.284825,0,0,0.040116416
1.301511111,0,0,0.04015748
1.318188889,0,0,0.040786599
1.334869444,0,0,0.040309089
1.351547222,0,0,0.040412793
1.368227778,0,0,0.039606909
1.384913889,0,0,0.040832602
1.401605556,0,0,0.04007722
1.418291667,0,0,0.039427313
1.434980556,0,0,0.039875908
1.451666667,0,0,0.040055249
1.468361111,0,0,0.039915171
1.485047222,0,0,0.039779589
1.501727778,0,0,0.039289598
1.518408333,0,0,0.039630119
1.535088889,0,0,0.039719454
1.551783333,0,0,0.039107348
1.568463889,0,0,0.03916614
1.585155556,0,0,0.039526542
1.601838889,0,0,0.03956373
1.618516667,0,0,0.039034095
1.635197222,0,0,0.03905112
1.651894444,0,0,0.03973558
1.668583333,0,0,0.038673662
1.685266667,0,0,0.03902439
1.70195,0,0,0.038965447
1.718630556,0,0,0.039746999
1.735316667,0,0,0.038820802
1.752005556,0,0,0.03937061
1.768691667,0,0,0.038717846
1.785375,0,0,0.038715209
1.802058333,0,0,0.038370683
1.818741667,0,0,0.038604742
1.835447222,0,0,0.038689894
1.852127778,0,0,0.03828944
1.868808333,0,0,0.037935706
1.885488889,0,0,0.03864547
1.902172222,0,0,0.038415442
1.918875,0,0,0.037951363
1.935552778,0,0,0.038294564
1.952255556,0,0,0.039442005
1.968944444,0,0,0.039100346
1.985625,0,0,0.038398209
2.002305556,0,0,0.038717566
2.018983333,0,0,0.037906252
2.035663889,0,0,0.038272816
2.052341667,0,0,0.038613398
2.069022222,0,0,0.037663721
2.0857,0,0,0.038209676
2.102377778,0,0,0.038129358
2.119058333,0,0,0.037550724
2.135741667,0,0,0.03798402
2.152441667,0,0,0.0381089
2.169119444,0,0,0.038255888
2.185805556,0,0,0.038843659
2.202483333,0,0,0.038209159
2.219166667,0,0,0.038480038
2.235847222,0,0,0.03818095
2.252527778,0,0,0.038044576
2.269205556,0,0,0.038181697
2.285886111,0,0,0.037469966
2.302566667,0,0,0.038495306
2.319244444,0,0,0.038394649
2.335927778,0,0,0.037304075
2.352605556,0,0,0.037234376
2.369286111,0,0,0.03762771
2.385966667,0,0,0.037264766
2.40265,0,0,0.037302024
2.419327778,0,0,0.03696716
2.436011111,0,0,0.038064061
2.452686111,0,0,0.037745539
2.469366667,0,0,0.038847477
2.486044444,0,0,0.038623494
2.502725,0,0,0.038102483
2.519402778,0,0,0.037572835
2.536083333,0,0,0.038266742
2.552761111,0,0,0.038188949
2.569441667,0,0,0.037175681
2.586133333,0,0,0.03861031
2.602811111,0,0,0.037164312
2.619519444,0,0,0.038109961
2.636208333,0,0,0.03801851
2.652886111,0,0,0.037741956
2.669569444,0,0,0.037490485
2.686252778,0,0,0.037422037
2.702933333,0,0,0.037517224
2.719613889,0,0,0.037904627
2.736291667,0,0,0.037290048
2.752975,0,0,0.037285424
2.769669444,0,0,0.037955126
2.786344444,0,0,0.038397096
2.803022222,0,0,0.038688525
2.819702778,0,0,0.038544513
2.836394444,0,0,0.037791698
2.853069444,0,0,0.038965822
2.86975,0,0,0.038560046
2.886430556,0,0,0.037880342
2.903108333,0,0,0.037817396
2.9198,0,0,0.037997135
2.936475,0,0,0.038683069
2.953155556,0,0,0.037576388
2.969836111,0,0,0.037897146
2.986511111,0,0,0.037806072
3.003191667,0,0,0.03809975
3.019886111,0,0,0.036527456
3.036572222,0,0,0.037382584
3.053252778,0,0,0.037822759
3.069930556,0,0,0.036658192
3.086611111,0,0,0.037473303
3.103288889,0,0,0.037383178
3.119975,0,0,0.038428387
3.136652778,0,0,0.037309476
3.153330556,0,0,0.038239281
3.170008333,0,0,0.038050271
3.186686111,0,0,0.037287455
3.203369444,0,0,0.038021785
3.22005,0,0,0.037505768
3.236738889,0,0,0.038221911
3.253422222,0,0,0.03735595
3.2701,0,0,0.037420279
3.286780556,0,0,0.037570904
3.303469444,0,0,0.037095953
3.32015,0,0,0.03764001
3.336827778,0,0,0.037159218
3.353505556,0,0,0.037576388
3.370186111,0,0,0.03740998
3.386863889,0,0,0.037224294
3.403544444,0,0,0.037655776
3.420222222,0,0,0.03761194
3.436897222,0,0,0.037498317
3.453580556,0,0,0.037803476
3.470261111,0,0,0.03807947
3.486944444,0,0,0.03783238
3.503647222,0,0,0.036963739
3.520327778,0,0,0.036952236
3.537019444,0,0,0.037811799
3.5537,0,0,0.036848713
3.570383333,0,0,0.036592828
3.587086111,0,0,0.036860582
3.603769444,0,0,0.036944427
3.620463889,0,0,0.036224251
3.637144444,0,0,0.037534211
3.653830556,0,0,0.038114696
3.670508333,0,0,0.038889298
3.687186111,0,0,0.038288449
3.703875,0,0,0.037351898
3.720552778,0,0,0.037646898
3.737236111,0,0,0.038169534
3.753913889,0,0,0.037952097
3.770591667,0,0,0.037813985
3.787269444,0,0,0.037650704
3.80395,0,0,0.037382576
3.820630556,0,0,0.036802904
3.837308333,0,0,0.037417655
3.854005556,0,0,0.03776252
3.870691667,0,0,0.037064817
3.887372222,0,0,0.036845709
3.90405,0,0,0.037635117
3.920733333,0,0,0.036359316
3.937411111,0,0,0.037196902
3.954091667,0,0,0.037238521
3.970772222,0,0,0.037957019
3.987452778,0,0,0.037556803
4.004133333,0,0,0.038464253
4.020813889,0,0,0.037224265
4.037488889,0,0,0.037203544
4.054186111,0,0,0.037365717
4.070863889,0,0,0.036864912
4.087541667,0,0,0.037531221
4.104236111,0,0,0.037317784
4.120911111,0,0,0.037706308
4.137605556,0,0,0.036919764
4.154302778,0,0,0.037536092
4.170983333,0,0,0.036182486
4.187661111,0,0,0.036731118
4.204341667,0,0,0.037833073
4.221019444,0,0,0.038495124
4.237719444,0,0,0.037532064
4.2544,0,0,0.03795784
4.271077778,0,0,0.037607973
4.287758333,0,0,0.037532615
4.304436111,0,0,0.037053861
4.321122222,0,0,0.037739564
4.3378,0,0,0.037029943
4.354477778,0,0,0.036831263
4.371180556,0,0,0.037472881
4.387880556,0,0,0.037324633
4.404558333,0,0,0.037189322
4.421236111,0,0,0.037241202
4.437916667,0,0,0.037383178
4.4546,0,0,0.038202247
4.471280556,0,0,0.037709399
4.487952778,0,0,0.038240781
4.504644444,0,0,0.037322354
4.521327778,0,0,0.037485543
4.538008333,0,0,0.037820336
4.554688889,0,0,0.037609866
4.571380556,0,0,0.036693164
4.588061111,0,0,0.03767077
4.604741667,0,0,0.037399936
4.621419444,0,0,0.037089052
4.638105556,0,0,0.037281127
4.654819444,0,0,0.03700892
4.671522222,0,0,0.037389223
4.688205556,0,0,0.03687407
4.704886111,0,0,0.036600048
4.721563889,0,0,0.037184163
4.738244444,0,0,0.037678
4.754925,0,0,0.037900468
4.771619444,0,0,0.03767076
4.788305556,0,0,0.037986174
4.804983333,0,0,0.037838574
4.821661111,0,0,0.037589459
4.838347222,0,0,0.037352769
4.855027778,0,0,0.037680775
4.871702778,0,0,0.037721943
4.888383333,0,0,0.037020489
4.905063889,0,0,0.037539725
4.921741667,0,0,0.037143957
4.938416667,0,0,0.036195336
4.9551,0,0,0.037512781
4.971780556,0,0,0.037200227
4.988458333,0,0,0.037507364
5.005138889,0,0,0.037344398
5.021825,0,0,0.038310061
5.038502778,0,0,0.038155464
5.055183333,0,0,0.038181309
5.071866667,0,0,0.037496682
5.088552778,0,0,0.037105629
5.105230556,0,0,0.037446809
5.121911111,0,0,0.037307171
5.138588889,0,0,0.036582387
5.155280556,0,0,0.037266684
5.171961111,0,0,0.037107396
5.188641667,0,0,0.037202476
5.205325,0,0,0.036478365
5.222002778,0,0,0.036815175
5.238683333,0,0,0.037700865
5.255363889,0,0,0.038189335
5.272052778,0,0,0.037373669
5.288733333,0,0,0.037876131
5.305413889,0,0,0.037419094
5.322094444,0,0,0.038164666
5.338775,0,0,0.037389933
5.355452778,0,0,0.037412471
5.372133333,0,0,0.036683417
5.388811111,0,0,0.036780014
5.405491667,0,0,0.037455372
5.422175,0,0,0.037119572
5.438863889,0,0,0.037770613
5.455547222,0,0,0.037616511
5.472230556,0,0,0.036432615
5.488913889,0,0,0.036405749
5.505591667,0,0,0.03616796
5.522269444,0,0,0.037792442
5.538947222,0,0,0.037471511
5.555625,0,0,0.038127138
5.572336111,0,0,0.037799504
5.589016667,0,0,0.037899861
5.605694444,0,0,0.037326911
5.622388889,0,0,0.037982609
5.639066667,0,0,0.037909408
5.655741667,0,0,0.037070701
5.672422222,0,0,0.036767017
5.6891,0,0,0.03814419
5.705775,0,0,0.037408939
5.722455556,0,0,0.036709638
5.739138889,0,0,0.036102369
5.755833333,0,0,0.036807558
5.772516667,0,0,0.036206897
5.789208333,0,0,0.037198038
5.805891667,0,0,0.036969276
5.822566667,0,0,0.03662401
5.839244444,0,0,0.037155544
5.855922222,0,0,0.037916983
5.872597222,0,0,0.037944553
5.889277778,0,0,0.037989851
5.905955556,0,0,0.037848329
5.922647222,0,0,0.037202183
5.939325,0,0,0.037351443
5.956011111,0,0,0.038001504
5.972688889,0,0,0.036835098
5.989369444,0,0,0.037692516
6.006044444,0,0,0.037495815
6.022730556,0,0,0.036864932
6.039411111,0,0,0.036893447
6.056088889,0,0,0.036622767
6.072769444,0,0,0.037074982
6.08945,0,0,0.038111134
6.106125,0,0,0.03823697
6.122802778,0,0,0.037776579
6.139486111,0,0,0.036752571
6.156175,0,0,0.037946277
6.17285,0,0,0.037366434
6.189527778,0,0,0.037419355
6.206208333,0,0,0.037362637
6.222888889,0,0,0.036935119
6.239569444,0,0,0.037508985
6.256252778,0,0,0.037301187
6.272930556,0,0,0.036860582
6.289608333,0,0,0.036993694
6.306288889,0,0,0.037807839
6.322969444,0,0,0.037760964
6.339647222,0,0,0.037547893
6.356322222,0,0,0.037397714
6.373005556,0,0,0.037124377
6.389683333,0,0,0.037868841
6.406361111,0,0,0.037878268
6.423041667,0,0,0.037049032
6.439719444,0,0,0.037181871
6.4564,0,0,0.036790155
6.473075,0,0,0.037626246
6.489755556,0,0,0.037976391
6.506438889,0,0,0.03737105
6.523119444,0,0,0.036986808
6.539797222,0,0,0.037591051
6.556477778,0,0,0.037709682
6.573158333,0,0,0.037634773
6.589836111,0,0,0.037663603
6.606513889,0,0,0.038481198
6.623194444,0,0,0.037306397
6.639877778,0,0,0.037801389
6.656563889,0,0,0.038387852
6.673241667,0,0,0.037959668
