exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,-0.000447762,0.5,6657,37,0,32.75,34.25,36.65,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8017,0.04116253,0.016714482,0,0,0,0,0,0,0,0,0,0,5,2
60.23,0.005404296,0.5,6657,37,0.2475,32.6875,34.25,36.71,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7999,0.041505188,0.016752094,0,0,0,0,0,0,0,0,0,0,5,2
120.3,0.010149661,0.5,6657,37,0.2185,32.6875,34.25,36.73,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8025,0.041370717,0.016697819,0,0,0,0,0,0,0,0,0,0,5,2
180.35,0.010301527,0.5,6657,37,0.1944,32.6875,34.3125,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8058,0.041697692,0.017125838,0,0,0,0,0,0,0,0,0,0,5,2
240.43,0.009603328,0.5,6657,37,0.1729,32.75,34.3125,36.97,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8031,0.041837878,0.016685344,0,0,0,0,0,0,0,0,0,0,5,2
300.5,0.008572154,0.5,6657,37,0.1726,32.75,34.25,37.03,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8091,0.041156841,0.017055988,0,0,0,0,0,0,0,0,0,0,5,2
360.55,0.011149533,0.5,6657,37,0.1632,32.75,34.3125,37.05,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8060,0.041439206,0.01662531,0,0,0,0,0,0,0,0,0,0,5,2.688635589
420.62,0.012521809,0.5,6657,37,0.1965,32.75,34.25,37.09,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8039,0.041547456,0.01666874,0,0,0,0,0,0,0,0,0,0,5,2.902426471
480.69,0.014064651,0.5,6657,37,0.1741,32.8125,34.3125,36.95,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8092,0.041522491,0.017301038,0,0,0,0,0,0,0,0,0,0,5,3.1058834
540.73,0.011756388,0.5,6657,37,0.1502,32.75,34.375,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8116,0.041646131,0.016510596,0,0,0,0,0,0,0,0,0,0,5,2.412785736
600.79,0.009300507,0.5,6657,37,0.1702,32.8125,34.3125,37.05,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8058,0.041573591,0.017249938,0,0,0,0,0,0,0,0,0,0,5,1.589162906
660.84,0.008724174,0.5,6657,37,0.2135,32.75,34.4375,36.95,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8063,0.041423788,0.017115218,0,0,0,0,0,0,0,0,0,0,5,1.317791416
720.9,0.007725235,0.5,6657,37,0.1181,32.75,34.375,37.03,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8077,0.041351987,0.016837935,0,0,0,0,0,0,0,0,0,0,5,0.887085119
780.97,0.006669255,0.5,6657,37,0.1698,32.8125,34.375,37.05,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8074,0.041615061,0.017215754,0,0,0,0,0,0,0,0,0,0,5,0.401778628
841.03,0.010122569,0.5,6657,37,0.1704,32.75,34.4375,36.87,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8190,0.041514042,0.016849817,0,0,0,0,0,0,0,0,0,0,5,1.63346773
901.07,0.009456759,0.5,6657,37,0.2093,32.6875,34.4375,36.95,0,0,0,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8128,0.041584646,0.016732283,0,0,0,0,0,0,0,0,0,0,5,1.347680903
961.11,0.012550268,0.5,6657,37,0.156,32.75,34.5,36.89,0,0,0,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8104,0.041337611,0.016905232,0,0,0,0,0,0,0,0,0,0,5,2.1293338
