exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
901.07,0.047430138060986865,0.5,8450.0,37.0,0.13654999999995013,31.75,33.5625,36.93000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7662.0,0.04933437744714174,0.01918559122944401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2214146584852428
961.13,0.04672696660322935,0.5,8450.0,37.0,0.17534999999995576,31.75,33.5625,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7687.0,0.04904384024977234,0.018732925718745935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1155346974227134
1021.21,0.04871402997557081,0.5,8450.0,37.0,0.1470499999999488,31.75,33.625,37.13000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7693.0,0.04874561289483947,0.018718315351618355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1846948738620913
1081.25,0.048386878327819606,0.5,8450.0,37.0,0.2368499999999558,31.8125,33.625,37.03000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7656.0,0.04871995820271682,0.01893939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.105244898940449
1141.33,0.050433091431938165,0.5,8450.0,37.0,0.1494499999999466,31.9375,33.75,37.13000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7687.0,0.048393391440093664,0.018863015480681672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1742392568520237
1201.41,0.04957206020731713,0.5,8450.0,37.0,0.14704999999994536,31.875,33.75,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7695.0,0.04912280701754386,0.01871345029239766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0638668052752747
1261.48,0.050000531948736965,0.5,8450.0,37.0,0.185849999999951,31.9375,33.8125,36.85000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7662.0,0.04933437744714174,0.01918559122944401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0364922798162275
1321.55,0.04916781658649258,0.5,8450.0,37.0,0.15284999999994917,32.0,33.8125,37.01000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7732.0,0.04811174340403518,0.018623900672529746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.934284557900884
1381.63,0.04977316392142975,0.5,8450.0,37.0,0.12484999999994195,32.0,33.75,36.97000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7710.0,0.0490272373540856,0.01906614785992218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9242803900048383
1441.68,0.049294319091095246,0.5,8450.0,37.0,0.14894999999994674,32.0,33.8125,37.09000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7706.0,0.048793148196210744,0.018427199584739165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8490650143643994
