exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,comm_tar,comm_est,pid_kp,pid_ki,pid_kd,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.00222006,0.5,6358.2,37,0.19935,32.8125,34.25,36.85,0,0,0.25,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9226,0.035226534,0.017017126,4245,0.041931684,0.034393404,3004,0.018308921,0,0,0,0,0,5,2
60.24,0.001153261,0.5,6358.2,37,0.2175,32.6875,34.1875,36.85,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9201,0.034887512,0.016845995,4238,0.042236904,0.035394054,2984,0.018096515,0,0,0,0,0,5,2
120.28,0.000902219,0.5,6358.2,37,0.1799,32.6875,34.25,36.93,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9290,0.035199139,0.017007535,4217,0.04126156,0.03509604,3001,0.018327224,0,0,0,0,0,5,2
180.32,0.00203127,0.5,6358.2,37,0.1193,32.6875,34.1875,36.85,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9269,0.035278887,0.017046068,4219,0.041953069,0.034605357,2999,0.018672891,0,0,0,0,0,5,2
240.39,0.00124736,0.5,6358.2,37,0.1204,32.625,34.1875,36.89,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9225,0.035447154,0.01701897,4236,0.042256846,0.03470255,2994,0.019038076,0,0,0,0,0,5,2
300.46,0.000119762,0.5,6358.2,37,0.15345,32.6875,34.1875,37.03,0,0,0.25,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9276,0.035252264,0.016601984,4227,0.041873669,0.035013012,3005,0.018635607,0,0,0,0,0,5,2
360.52,-0.000381475,0.5,6358.2,37,0.2113,32.5,34.1875,36.89,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9297,0.035172636,0.016779606,4241,0.04244282,0.034425843,3011,0.017934241,0,0,0,0,0,5,2
420.59,0.001341049,0.5,6358.2,37,0.1098,32.6875,34.3125,36.93,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9228,0.035652362,0.016905072,4227,0.042819967,0.035249586,3003,0.018315018,0,0,0,0,0,5,2
480.66,0.001090991,0.5,6358.2,37,0.1816,32.625,34.3125,37.05,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9226,0.035334923,0.016908736,4229,0.042326791,0.034287066,3000,0.019,0,0,0,0,0,5,1.280901883
540.71,0.000119248,0.5,6358.2,37,0.1819,32.4375,34.3125,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9267,0.035178591,0.016941837,4260,0.042018779,0.035211268,3011,0.018266357,0,0,0,0,0,5,-5.424039264
600.78,0.001404916,0.5,6358.2,37,0.20175,32.625,34.375,36.85,0,0,0.25,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9274,0.03504421,0.016929049,4246,0.041921809,0.03462082,2993,0.019044437,0,0,0,0,0,5,2.246733271
660.82,2.53E-05,0.5,6358.2,37,0.1351,32.6875,34.3125,36.93,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9256,0.035220398,0.016961971,4229,0.042090329,0.034523528,3008,0.018617021,0,0,0,0,0,5,-9.913504413
720.89,-0.000913177,0.5,6358.2,37,0.1256,32.625,34.375,36.97,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9255,0.035116153,0.016423555,4234,0.042040624,0.034482759,3010,0.017940199,0,0,0,0,0,5,-9.913504413
780.93,-0.001787786,0.5,6358.2,37,0.1123,32.625,34.4375,36.77,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9256,0.035328436,0.016961971,4240,0.04245283,0.034669811,3001,0.018993669,0,0,0,0,0,5,-9.913504413
840.97,-0.002193157,0.5,6358.2,37,0.1626,32.6875,34.375,36.87,0,0,0.07,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9202,0.035209737,0.01662682,4230,0.042080378,0.034515366,2995,0.01736227,0,0,0,0,0,5,-9.913504413
901.02,-0.001193422,0.5,6358.2,37,0.1638,32.625,34.375,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9211,0.035175334,0.016502008,4224,0.042613636,0.035984848,3012,0.017928287,0,0,0,0,0,5,-9.913504413
961.06,-0.000162437,0.5,6358.2,37,0.2077,32.5625,34.4375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9287,0.034995155,0.017013029,4243,0.042658496,0.034645298,3006,0.01829674,0,0,0,0,0,5,-9.913504413
1021.11,0.001216833,0.5,6358.2,37,0.1677,32.6875,34.4375,37.09,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9340,0.034796574,0.016809422,4267,0.042887274,0.034216077,2987,0.018078339,0,0,0,0,0,5,-9.913504413
1081.16,0.011478376,0.5,6358.2,37,0.1742,32.5,34.4375,37.09,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9446,0.035676477,0.017044252,4365,0.041695304,0.035509737,3108,0.018339768,0,0,0,0,0,5,-2.685188405
1141.2,0.01456997,0.5,6358.2,37,0.1613,32.625,34.375,36.85,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9491,0.035296597,0.01664735,4383,0.041752225,0.035135752,3118,0.018280949,0,0,0,0,0,5,-1.835435939
1201.27,0.018061306,0.5,6358.2,37,0.1822,32.75,34.375,36.97,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9539,0.035852815,0.016982912,4355,0.041331803,0.035361653,3093,0.018105399,0,0,0,0,0,5,-1.099236349
1261.35,0.018863169,0.5,6358.2,37,0.1625,32.8125,34.375,36.95,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9544,0.035205365,0.016764459,4406,0.042215161,0.035179301,3087,0.018788468,0,0,0,0,0,5,-0.913956231
1321.43,0.018252403,0.5,6358.2,37,0.1395,32.8125,34.375,37.01,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9485,0.035318925,0.01676331,4376,0.041819013,0.034734918,3114,0.017983301,0,0,0,0,0,5,-0.967002036
1381.47,0.02166408,0.5,6358.2,37,0.1368,32.875,34.5,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9505,0.035455024,0.016833246,4380,0.042009132,0.035388128,3109,0.018655516,0,0,0,0,0,5,-0.404575308
1441.52,0.02205208,0.5,6358.2,37,0.1777,32.875,34.5,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9544,0.035310142,0.016974015,4373,0.042076378,0.035444775,3097,0.019050694,0,0,0,0,0,5,-0.331092552
1501.56,0.023698673,0.5,6358.2,37,0.1771,32.9375,34.5625,37.01,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9570,0.035423197,0.016718913,4380,0.041552511,0.034703196,3115,0.020224719,0,0,0,0,0,5,-0.098501533
1561.64,0.02260016,0.5,6358.2,37,0.1533,32.9375,34.5625,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9533,0.035245988,0.016993601,4404,0.042461399,0.034287012,3107,0.01995494,0,0,0,0,0,5,-0.23596274
1621.71,0.021921976,0.5,6358.2,37,0.1577,32.875,34.5,36.71,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9501,0.035364698,0.016945585,4408,0.041969147,0.034482759,3116,0.018292683,0,0,0,0,0,5,-0.315566698
1681.77,0.022664612,0.5,6358.2,37,0.1571,32.9375,34.5,36.79,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9559,0.035254734,0.016738153,4401,0.04180868,0.034537605,3116,0.018292683,0,0,0,0,0,5,-0.199842834
1741.85,0.022957926,0.5,6358.2,37,0.1521,32.9375,34.5625,36.81,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9596,0.03522301,0.016465194,4411,0.042620721,0.034459306,3115,0.017977528,0,0,0,0,0,5,-0.151275394
1801.88,0.023181414,0.5,6358.2,37,0.1462,32.9375,34.5,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9563,0.035344557,0.016731151,4420,0.041855204,0.03438914,3099,0.01839303,0,0,0,0,0,5,-0.114648767
1861.95,0.023699434,0.5,6358.2,37,0.1344,32.875,34.5625,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9504,0.035353535,0.016835017,4408,0.041969147,0.0353902,3105,0.018357488,0,0,0,0,0,5,-0.042615326
1922.01,0.025287736,0.5,6358.2,37,0.1659,32.8125,34.5625,36.77,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9626,0.035113235,0.017037191,4416,0.042119565,0.035326087,3126,0.018554063,0,0,0,0,0,5,0.154120506
1982.07,0.02460609,0.5,6358.2,37,0.1933,32.875,34.625,36.89,0,0,0,0,0,20,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9552,0.03569933,0.016855109,4429,0.041995936,0.03386769,3121,0.017942967,0,0,0,0,0,5,0.064437813
