exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,OC6 (nM),IPTG (uM),,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,Background,Background Corrected,Post Induction Average,Normalised FP2,FP2 Moving Average,mScarlet Signal (AU),FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate,,,OC6 (nM),IPTG (uM)
0.22,0.008736114,0.5,7290,37,0.1485,32.0625,33.6875,37.05,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9203,0.039226339,0.015755732,4009,0.050137191,,0.000364438,,0.002964322,-0.002532088,0,0.035919182,3868,0.02352637,0,0,0,0,0,5,3.735897979,2.106753824,0.000585209,0,0
0.23,-0.001006516,0.5,7290,37,0.1687,32.0625,33.6875,36.97,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9289,0.039186134,0.015609861,4034,0.049578582,,-0.000194171,,-0.001579379,-0.002609435,0,0.035944472,3853,0.023098884,0,0,0,0,0,5,3.735897979,2.059226378,0.000572007,0,0
0.25,0.002820218,0.5,7290,37,0.2273,32,33.75,36.87,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9188,0.039399216,0.015999129,3998,0.049274637,,-0.000498116,,-0.004051651,-0.002356717,0,0.036768384,3838,0.023449713,0,0,0,0,0,5,3.735897979,2.011698933,0.000558805,0,0
0.27,0.002298962,0.5,7290,37,0.2206,32,33.6875,36.85,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9086,0.039511336,0.015848558,3994,0.049574362,,-0.000198392,,-0.001613708,-0.002166887,0,0.036805208,3828,0.022204807,0,0,0,0,0,5,2.936033941,1.964171488,0.000545603,0,0
0.28,0.00316624,0.5,7290,37,0.2091,32.0625,33.8125,36.73,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9153,0.039331367,0.015841801,3989,0.048633743,,-0.00113901,,-0.009264657,-0.002415174,0,0.035848584,3845,0.023407022,0,0,0,0,0,5,3.749493137,1.916644043,0.000532401,0,0
0.3,0.006702019,0.5,7290,37,0.233,32.0625,33.8125,37.01,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9219,0.039266732,0.01594533,4012,0.049601196,,-0.000171557,,-0.001395435,-0.002016738,0,0.036141575,3871,0.022733144,0,0,0,0,0,5,5.811610384,1.869116597,0.000519199,0,0
0.32,0.004528817,0.5,7290,37,0.1824,32.0625,33.75,37.01,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9182,0.039098236,0.016009584,4008,0.049401198,,-0.000371556,,-0.003022216,-0.001965793,0,0.035678643,3871,0.022991475,0,0,0,0,0,5,4.345185429,1.890497581,0.000525138,0,0
0.33,0.00562045,0.5,7290,37,0.1909,32.125,33.75,37.01,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9109,0.039411571,0.016028104,3999,0.049512378,,-0.000260375,,-0.002117879,-0.001932121,0,0.03575894,3866,0.023021211,0,0,0,0,0,5,4.775779106,2.068198551,0.0005745,0,0
0.35,0.001357148,0.5,7290,37,0.19,32.0625,33.75,36.85,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9229,0.039007476,0.015711345,3982,0.049221497,,-0.000551256,,-0.004483894,-0.001901278,0,0.035660472,3857,0.023074929,0,0,0,0,0,5,0.273911945,2.055576951,0.000570994,0,0
0.37,0.000361482,0.5,7290,37,0.1761,32.0625,33.75,36.63,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9220,0.039370933,0.016160521,4019,0.048270714,,-0.001502039,,-0.012217515,-0.001699304,0,0.03558099,3860,0.02253886,0,0,0,0,0,5,-3.708565772,2.252929251,0.000625814,0,0
0.38,0.003559981,0.5,7290,37,0.207,32.0625,33.8125,36.57,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9296,0.039156627,0.016028399,4012,0.049351944,,-0.000420809,,-0.003422841,-0.001717566,0,0.035643071,3873,0.023495998,0,0,0,0,0,5,3.338753808,2.565778672,0.000712716,0,0
0.4,0.001727124,0.5,7290,37,0.2159,32.0625,33.8125,36.79,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9301,0.039243092,0.016234813,4013,0.049838026,,6.53E-05,,0.000530929,-0.001866106,0,0.03712933,3866,0.023279876,0,0,0,0,0,5,1.001923649,2.570120585,0.000713922,0,0
0.42,-0.003750952,0.5,7290,37,0.2203,32.125,33.8125,36.71,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9126,0.039447732,0.016107824,3988,0.050401204,,0.00062845,,0.005111786,-0.001797812,0,0.036359077,3839,0.02370409,0,0,0,0,0,5,1.001923649,2.559379234,0.000710939,0,0
0.43,0.008433551,0.5,7290,37,0.1694,32.0625,33.75,36.93,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9291,0.038962437,0.016144656,4025,0.049937888,,0.000165135,,0.0013432,-0.001474042,0,0.036273292,3915,0.023243934,0,0,0,0,0,5,1.001923649,2.49604156,0.000693345,0,0
0.45,-0.000726742,0.5,7290,37,0.1891,32.0625,33.75,36.77,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9320,0.039270386,0.015879828,4054,0.049333991,,-0.000438762,,-0.00356887,-0.001347642,0,0.036260483,3885,0.022908623,0,0,0,0,0,5,1.001923649,2.54506372,0.000706962,0,0
0.47,0.001953472,0.5,7290,37,0.1891,32.0625,33.8125,36.73,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9298,0.039148204,0.015917402,4061,0.049741443,,-3.13E-05,,-0.000254676,-0.000728723,0,0.03669047,3901,0.023583696,0,0,0,0,0,5,1.001923649,2.614613745,0.000726282,0,0
0.48,0.003217697,0.5,7290,37,0.2368,32.0625,33.75,36.81,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9288,0.039405685,0.016149871,4060,0.049753695,,-1.91E-05,,-0.000155022,-0.000536206,0,0.036699507,3905,0.023559539,0,0,0,0,0,5,2.449000656,2.163201406,0.000600889,0,0
0.5,0.01001138,0.5,7290,37,0.1956,32.125,33.75,36.89,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9267,0.039279163,0.015970649,4041,0.049987627,,0.000214874,,0.001747772,-0.001119082,0,0.036129671,3892,0.023381295,0,0,0,0,0,5,5.731720374,2.431367918,0.00067538,0,0
0.52,0.002906626,0.5,7290,37,0.2171,32.1875,33.75,36.79,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9230,0.039328277,0.016359697,4037,0.049789448,,1.67E-05,,0.000135792,-0.000981531,0,0.036660887,3886,0.024189398,0,0,0,0,0,5,1.73494641,2.336404441,0.000649001,0,0
0.53,0.00735049,0.5,7290,37,0.1977,32.1875,33.8125,36.89,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9359,0.038999893,0.015920504,4025,0.049937888,,0.000165135,,0.0013432,-0.000960117,0,0.036521739,3912,0.022750511,0,0,0,0,0,5,4.431520611,2.45581559,0.000682171,0,0
