exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
0.19,0.009142598,0,0,0,0.043824228,0.039746746,2
60.25,0.006669984,0,0,0,0.043762635,0.03918108,2
120.29,0.01358787,0,0,0,0.043694494,0.039887046,2
180.33,0.009014193,0,0,0,0.043674341,0.038828097,2
240.4,0.00907767,0,0,0,0.043540328,0.040311174,2
300.47,0.010666523,0,0,0,0.043659291,0.039858907,2
360.53,0.013531239,0,0,0,0.043581241,0.039112051,2.613672684
420.57,0.016678149,0,0,0,0.043245812,0.038910506,3.110284236
480.63,0.01585711,0,0,0,0.04379822,0.040621688,2.803325785
540.67,0.013080682,0,0,0,0.043385491,0.040593011,2.085714952
600.72,0.009585595,0,0,0,0.043757432,0.039646018,1.048804003
660.76,0.013528637,0,0,0,0.043638526,0.040679165,2.030005791
720.8,0.015507345,0,0,0,0.043855479,0.038649025,2.338020655
780.85,0.017576191,0,0,0,0.043627742,0.038828097,2.596813963
840.89,0.016530787,0,0,0,0.04308094,0.038951841,2.283011078
900.96,0.012763806,0,0,0,0.043927342,0.039236479,1.393027642
961.02,0.014812783,0,0,0,0.04331316,0.03960396,1.770007218
1021.07,0.012318088,0,0,0,0.043473097,0.038718761,1.128241451
1081.14,0.016025883,0,0,0,0.043793883,0.039957567,1.861238508
1141.2,0.014167046,0,0,0,0.043375207,0.039929329,1.398317073
1201.27,0.014742095,0,0,0,0.043607414,0.039872971,1.447766449
1261.32,0.017942578,0,0,0,0.043193717,0.039167255,1.964786715
1321.35,0.011211522,0,0,0,0.044741697,0.040878378,0.455843661
1381.42,-0.001257397,0,0,0,0.043895748,0.039202433,0.455843661
1405.72,0.001045799,0,0,0,0.044896085,0.041068447,0.455843661
1465.75,-0.000238868,0,0,0,0.044774401,0.039986445,0.455843661
1525.82,-0.00251103,0,0,0,0.044239631,0.039755352,0.455843661
1585.87,-0.015175699,0,0,0,0.044329303,0.03899627,0.455843661
1645.93,-0.016139277,0,0,0,0.044567602,0.039863714,0.455843661
1705.99,-0.00731689,0,0,0,0.044341801,0.039890897,0.455843661
1766.06,0.012320971,0,0,0,0.044472829,0.039904502,0.455843661
1826.14,0.01695242,0,0,0,0.043967517,0.039437586,1.390374996
1886.21,0.015634715,0,0,0,0.044480671,0.040992077,1.078105826
1946.27,0.014262992,0,0,0,0.044080019,0.039491758,0.74872372
2006.32,0.014634529,0,0,0,0.044155241,0.040233838,0.788434285
2066.36,0.020228285,0,0,0,0.044064644,0.039586919,1.720106868
2126.43,0.014317577,0,0,0,0.044214924,0.039600551,0.597319817
2186.49,0.020920849,0,0,0,0.044222041,0.04008222,1.705228594
2246.57,0.023833635,0,0,0,0.043783657,0.040456432,2.011021912
2306.62,0.022628846,0,0,0,0.044127948,0.039019337,1.754853759
2366.7,0.026515345,0,0,0,0.04386478,0.03892525,2.142605547
2426.78,0.021807562,0,0,0,0.044117647,0.040386607,1.4490748
2486.85,0.027649775,0,0,0,0.044002341,0.038355218,2.088703441
2546.92,0.029308634,0,0,0,0.043880178,0.039181692,2.159061947
2607,0.035671519,0,0,0,0.044057497,0.039446367,2.640520214
2667.06,-0.017943011,0,0,0,0.044610092,0.039933993,2.640520214
2727.11,-0.024022636,0,0,0,0.044657097,0.041196013,2.640520214
2787.17,-0.023473127,0,0,0,0.044593978,0.040319893,2.640520214
2847.24,-0.000243963,0,0,0,0.044137774,0.039182853,2.640520214
2907.31,-0.003305982,0,0,0,0.044314668,0.040227958,2.640520214
2967.39,0.001851804,0,0,0,0.043947217,0.039044093,2.640520214
3027.45,6.62E-05,0,0,0,0.044112579,0.039513678,-7.487314438
3087.49,0.003454343,0,0,0,0.043997702,0.040189125,4.753276201
3147.56,0.007100816,0,0,0,0.043718999,0.04024349,6.677344561
3207.63,0.006851152,0,0,0,0.043859649,0.039837947,6.236098808
3267.7,0.004250865,0,0,0,0.044109179,0.039661017,4.492410596
3327.75,0.00846048,0,0,0,0.04384037,0.040338983,6.332640529
3387.8,0.010074168,0,0,0,0.044010627,0.039044093,6.539714498
3447.84,0.021247377,0,0,0,0.043628809,0.040257104,8.451505538
3507.9,0.008893153,0,0,0,0.043253192,0.040609137,5.416074761
