exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
0.19,0.003726462,0,0,0,0.049301975,0.043422322,2
60.23,0.000126656,0,0,0,0.049040512,0.044236358,2
120.27,-0.004195217,0,0,0,0.048915088,0.042553191,2
180.32,0.003368249,0,0,0,0.049065127,0.043211867,2
240.36,-0.001468332,0,0,0,0.049157657,0.042539478,2
300.4,0.001383159,0,0,0,0.048976516,0.043576501,2
360.45,0.001992811,0,0,0,0.049163838,0.043927649,2.995529147
420.49,-0.00301435,0,0,0,0.048985217,0.04389929,2.995529147
480.56,-0.00225542,0,0,0,0.048694779,0.043548387,2.995529147
540.6,0.007241695,0,0,0,0.048964218,0.044307891,2.995529147
600.65,0.004400416,0,0,0,0.048560701,0.043295638,1.351283982
660.71,0.007994114,0,0,0,0.048453737,0.043211867,3.074739099
720.76,0.007733496,0,0,0,0.048994975,0.043632838,2.821568652
780.83,0.00073493,0,0,0,0.048783547,0.043870968,-4.38013433
840.88,-0.00186358,0,0,0,0.048587571,0.043562439,-4.38013433
900.95,-0.002045055,0,0,0,0.049396682,0.043295638,-4.38013433
961,-0.001995971,0,0,0,0.048826409,0.043421905,-4.38013433
1021.03,0.000879068,0,0,0,0.048902821,0.043170103,-4.38013433
1081.1,-0.002227651,0,0,0,0.048820281,0.043632838,-4.38013433
1141.17,0.005589945,0,0,0,0.048783547,0.043464263,-4.38013433
1201.24,-0.001358824,0,0,0,0.048826409,0.043548387,-4.38013433
1261.29,-0.001629875,0,0,0,0.048688669,0.043717617,-4.38013433
1321.34,0.027637499,0,0,0,0.048712771,0.043114543,-4.38013433
1381.41,0.014900179,0,0,0,0.048789713,0.043267678,-6.014528421
1441.5,0.019365718,0,0,0,0.048903453,0.043000323,-4.927408604
1501.58,0.01865698,0,0,0,0.049136954,0.043337646,-4.792890193
1561.66,0.03145283,0,0,0,0.049091368,0.042986425,-2.986439899
1621.75,0.017910669,0,0,0,0.04914098,0.042986425,-4.526395035
1681.82,0.023675278,0,0,0,0.048506993,0.043407839,-3.462970938
1741.89,0.017925508,0,0,0,0.048577901,0.043379735,-4.124442247
1801.96,0.01776265,0,0,0,0.048716012,0.042976267,-3.945600576
1862.05,0.018534092,0,0,0,0.048820487,0.043379735,-3.620778793
1922.12,0.022210332,0,0,0,0.049045633,0.043323634,-2.896902588
1982.15,0.020011605,0,0,0,0.049143145,0.044882144,-3.064793206
2042.21,0.027646368,0,0,0,0.049132582,0.043366527,-1.942007534
2102.25,0.017764594,0,0,0,0.048740554,0.044616877,-3.171768074
2162.32,0.019609791,0,0,0,0.048716012,0.043393782,-2.716714896
2222.38,0.023420703,0,0,0,0.048584015,0.044069994,-2.048104907
2282.44,0.019146308,0,0,0,0.048808173,0.04389929,-2.550231103
2342.52,0.021871656,0,0,0,0.049217567,0.043590572,-2.023474658
2402.6,0.037884203,0,0,0,0.048863636,0.043717617,-0.274272909
2462.68,0.023524413,0,0,0,0.048620733,0.042944785,-1.690045662
2522.75,0.027607302,0,0,0,0.049238131,0.043253712,-1.125418692
2582.82,0.031997559,0,0,0,0.048958991,0.043520309,-0.626409817
2642.88,0.023725066,0,0,0,0.048795864,0.043576501,-1.492471877
2703.05,0.036896737,0,0,0,0.048792757,0.043966624,-1.492471877
2763.1,0.018717987,0,0,0,0.048067515,0.04336895,-3.453762731
2823.14,0.026045442,0,0,0,0.048161765,0.043273754,-2.290001123
