exp_time,od_measured,Van,OC6 ,IPTG,FP1_emit1,FP2_emit1
0.19,0.005315065,0,0,0,0.050230947,0.04216253
60.25,0.006337515,0,0,0,0.050345888,0.043567052
120.29,0.005467984,0,0,0,0.050442819,0.043076923
180.33,0.006011277,0,0,0,0.050588917,0.041979522
240.39,0.00021099,0,0,0,0.050318103,0.043641323
300.44,-0.005540013,0,0,0,0.050384615,0.04396728
360.48,0.011612891,0,0,0,0.050520632,0.043047489
420.53,0.008693012,0,0,0,0.051232666,0.043730782
480.57,0.011008063,0,0,0,0.051474841,0.043730782
540.63,0.007298974,0,0,0,0.051049894,0.043032787
600.69,-0.000414511,0,0,0,0.051187947,0.044414076
660.73,6.81E-05,0,0,0,0.050434783,0.042676681
720.76,0.004444599,0,0,0,0.050105993,0.044087491
780.82,0.009721709,0,0,0,0.050297562,0.042378674
840.87,0.009171733,0,0,0,0.050318103,0.043047489
900.91,0.004143418,0,0,0,0.050202742,0.043329922
960.99,0.001367678,0,0,0,0.050318103,0.042633015
1021.03,0.005927416,0,0,0,0.050405562,0.043478261
1081.1,0.004967295,0,0,0,0.051089262,0.043076923
1141.15,0.005081247,0,0,0,0.051311728,0.042560436
1201.2,-0.000449259,0,0,0,0.051474841,0.044117647
1261.25,0.000665331,0,0,0,0.050425039,0.044057377
1321.29,-8.69E-05,0,0,0,0.051163685,0.043686007
1381.37,0.012541155,0,0,0,0.050183362,0.044383749
1441.45,0.001041796,0,0,0,0.05027933,0.043715847
1501.51,0.005830088,0,0,0,0.049778974,0.044247788
1561.56,-0.000111835,0,0,0,0.049990349,0.043835616
1621.62,0.006993408,0,0,0,0.051004637,0.044072429
1681.69,0.005837139,0,0,0,0.049373192,0.041979522
1741.75,0.002385298,0,0,0,0.050394307,0.043403964
1801.82,0.001297906,0,0,0,0.050588917,0.044027304
1861.85,0.003530331,0,0,0,0.050259965,0.044012282
1921.92,0.008810001,0,0,0,0.050222136,0.043656207
1981.99,0.005563439,0,0,0,0.049951969,0.044740437
2042.02,-0.000811371,0,0,0,0.049480169,0.044383749
2102.09,0.004477293,0,0,0,0.050105993,0.042959427
2162.19,0.000487309,0,0,0,0.050886662,0.043997271
2222.25,0.010838053,0,0,0,0.049884438,0.044027304
2282.32,0.007380023,0,0,0,0.049980777,0.042647561
2342.4,0.002837129,0,0,0,0.051232666,0.042764283
2402.45,-0.003778045,0,0,0,0.050076453,0.043982271
2462.5,0.00165966,0,0,0,0.050423403,0.04312115
2522.55,0.000513573,0,0,0,0.050298709,0.044383749
2582.59,0.009154111,0,0,0,0.049672699,0.042915531
2642.63,0.001629445,0,0,0,0.050326546,0.042930153
2702.69,0.001794797,0,0,0,0.050327806,0.042711864
2762.73,9.48E-05,0,0,0,0.050038344,0.043076923
2822.78,0.01001238,0,0,0,0.050067398,0.04334471
2882.82,0.000784811,0,0,0,0.049546944,0.044027304
2942.91,0.006928219,0,0,0,0.05100077,0.042618479
3002.97,0.013181958,0,0,0,0.050289017,0.044338336
3063.01,0.00139108,0,0,0,0.050586651,0.042959427
3123.06,0.003814369,0,0,0,0.049884438,0.042589438
3183.1,0.002202343,0,0,0,0.050057759,0.043359508
3243.15,0.031131368,0,0,0,0.049165457,0.043393148
3303.22,0.022067847,0,0,0,0.048493493,0.043184015
3363.28,0.035068616,0,0,0,0.048197072,0.043281654
3423.34,0.023785323,0,0,0,0.048841355,0.042608134
3483.37,0.042431424,0,0,0,0.048450303,0.043562439
3543.42,0.033881043,0,0,0,0.048949804,0.0448098
3603.47,0.039838096,0,0,0,0.048737104,0.042903226
3663.53,0.038739848,0,0,0,0.048252617,0.042217209
3723.58,0.039481168,0,0,0,0.048412839,0.044387263
3783.61,0.038058569,0,0,0,0.048065029,0.042375602
3843.66,0.041207817,0,0,0,0.048543689,0.042539478
3903.72,0.035872296,0,0,0,0.049238399,0.04312842
3963.76,0.04203132,0,0,0,0.048732943,0.043715847
4023.82,0.040695005,0,0,0,0.048412839,0.042375602
4083.89,0.037139389,0,0,0,0.048352816,0.042294136
4143.95,0.035738515,0,0,0,0.047391689,0.042614547
4204.01,0.04321631,0,0,0,0.047862045,0.042321257
4264.07,0.042759832,0,0,0,0.048451985,0.042553191
4324.13,0.033083108,0,0,0,0.048148148,0.042661573
4384.2,0.03320792,0,0,0,0.048012663,0.043422733
4444.26,0.04512781,0,0,0,0.04800422,0.043868076
4504.31,0.034953437,0,0,0,0.048421053,0.043353522
4564.37,0.031463218,0,0,0,0.047951177,0.042825184
4624.42,0.03910903,0,0,0,0.047885355,0.043658381
4684.47,0.047211964,0,0,0,0.048061744,0.042212984
4744.51,0.037506319,0,0,0,0.048401188,0.042159055
4804.56,0.043747027,0,0,0,0.048152688,0.042884371
4864.61,0.053826368,0,0,0,0.047918853,0.042485732
4924.65,0.037282273,0,0,0,0.047468909,0.042553191
4984.69,0.034183522,0,0,0,0.047942817,0.042231327
5044.73,0.049103723,0,0,0,0.048140424,0.042620865
5104.78,0.041594276,0,0,0,0.047908349,0.044303797
5164.82,0.044734762,0,0,0,0.047594323,0.042378242
5224.88,0.049196908,0,0,0,0.047561397,0.041455696
5284.93,0.054038129,0,0,0,0.047799827,0.042753851
5344.99,0.040760109,0,0,0,0.047733931,0.043931732
5405.05,0.060766849,0,0,0,0.047709924,0.042231327
5465.1,0.046246299,0,0,0,0.047749914,0.042412818
5525.15,0.052012388,0,0,0,0.04743963,0.042466184
5585.19,0.05595469,0,0,0,0.04760274,0.042253521
5645.22,0.055101358,0,0,0,0.04740639,0.042412818
5705.26,0.043901163,0,0,0,0.04740639,0.042279987
5765.31,0.051192918,0,0,0,0.047619048,0.042174321
5825.34,0.043998156,0,0,0,0.047336274,0.043004051
5885.37,0.048757049,0,0,0,0.047116857,0.042539881
5945.42,0.058593645,0,0,0,0.046827282,0.042539881
