exp_time,od_measured,Van,OC6 ,IPTG,FP1_emit1,FP2_emit1
0.21,0.010705919,0,0,0,0.049636804,0.043338684
60.24,0.006667612,0,0,0,0.049975681,0.04483871
120.33,0.000992146,0,0,0,0.050285437,0.043239755
180.4,0.012014263,0,0,0,0.049592804,0.044415835
240.45,0.010797929,0,0,0,0.050139614,0.044236358
300.54,0.003138848,0,0,0,0.049714355,0.043604651
360.61,0.011536381,0,0,0,0.050097276,0.043267678
420.71,0.00090891,0,0,0,0.050394657,0.0448098
480.77,0.002195443,0,0,0,0.049727107,0.043436293
540.84,0.013332663,0,0,0,0.049580751,0.043170103
600.96,0.007466098,0,0,0,0.050307637,0.0448098
661,0.010183091,0,0,0,0.049751846,0.043239755
721.07,0.006507329,0,0,0,0.050284057,0.044136598
781.14,0.011000802,0,0,0,0.049987838,0.043534344
841.18,0.00209506,0,0,0,0.050024284,0.044853178
901.24,-0.000498882,0,0,0,0.050290839,0.043956044
961.31,0.009585667,0,0,0,0.05027933,0.044193548
1021.37,0.00467324,0,0,0,0.049739173,0.042944785
1081.47,0.005046852,0,0,0,0.05,0.044588045
1141.53,0.013210587,0,0,0,0.049739173,0.044150822
1201.59,0.010548124,0,0,0,0.050018211,0.044602456
1261.65,0.009483886,0,0,0,0.049805163,0.043253712
1321.71,0.01081922,0,0,0,0.05021225,0.043885124
1381.78,0.012378115,0,0,0,0.050194458,0.043631697
1441.86,0.012340335,0,0,0,0.050152161,0.043646945
1501.9,0.011001675,0,0,0,0.05028001,0.043309632
1561.96,0.013717573,0,0,0,0.050200559,0.04361874
1622.03,0.013960395,0,0,0,0.050455927,0.043646945
1682.08,0.013192737,0,0,0,0.050540639,0.042972536
1742.12,0.013377653,0,0,0,0.050541956,0.043717617
1802.17,0.016786568,0,0,0,0.050060901,0.044969266
1862.23,0.009902863,0,0,0,0.049775948,0.044401544
1922.27,-0.001824787,0,0,0,0.050096805,0.044108178
1982.32,0.01306076,0,0,0,0.050485437,0.044559251
2042.36,0.020343565,0,0,0,0.050870147,0.043225806
2102.41,0.020193479,0,0,0,0.051125989,0.043632838
2162.48,0.012762527,0,0,0,0.0513382,0.043576501
2222.55,0.010992161,0,0,0,0.050668287,0.043309632
2282.61,0.01928799,0,0,0,0.051247718,0.043562439
2342.65,0.016076769,0,0,0,0.050655977,0.043870968
2402.72,0.007412477,0,0,0,0.051220101,0.043673732
2462.79,0.014978171,0,0,0,0.051192061,0.043478261
2522.86,0.010420176,0,0,0,0.051425106,0.044444444
2582.92,0.009225424,0,0,0,0.050622206,0.044051447
2642.98,0.01111757,0,0,0,0.051179188,0.044444444
2703.05,0.017245096,0,0,0,0.051381483,0.044430135
2763.11,0.000564682,0,0,0,0.050642026,0.043034747
2823.16,0.008803958,0,0,0,0.051514055,0.043589744
2883.21,0.016759677,0,0,0,0.051817852,0.043422322
2943.28,0.011039461,0,0,0,0.051902697,0.043366527
3003.35,0.012943641,0,0,0,0.0517909,0.044315992
3063.39,0.015224978,0,0,0,0.051601208,0.043338684
3123.49,0.019473973,0,0,0,0.051740812,0.04378622
3183.55,0.018020259,0,0,0,0.051905626,0.043324775
3243.64,0.005827422,0,0,0,0.051288225,0.042811502
3303.69,0.002068049,0,0,0,0.052080828,0.043075941
3363.74,0.009825237,0,0,0,0.052606465,0.044117647
3423.79,0.056387217,0,0,0,0.052460539,0.043945913
3483.87,0.029079321,0,0,0,0.051909101,0.044776119
3543.91,0.038144572,0,0,0,0.052112349,0.044599515
3603.99,0.040423874,0,0,0,0.051897128,0.04375765
3664.06,0.046308561,0,0,0,0.05206756,0.044771542
3724.1,0.035858863,0,0,0,0.052088167,0.044288332
3784.15,0.055635618,0,0,0,0.0521305,0.044023234
3844.18,0.04700166,0,0,0,0.05197649,0.044144144
3904.25,0.032313764,0,0,0,0.052279284,0.043451838
3964.33,0.044537301,0,0,0,0.052098907,0.04394263
4024.36,0.04493112,0,0,0,0.052337753,0.042475728
4084.44,0.048721009,0,0,0,0.052704417,0.044776119
4144.51,0.041906866,0,0,0,0.052218115,0.043822276
4204.58,0.037189172,0,0,0,0.052328925,0.04387292
4264.66,0.046552398,0,0,0,0.052145139,0.044343891
4324.73,0.048781753,0,0,0,0.051985311,0.044667274
4384.77,0.046951114,0,0,0,0.052142371,0.044384058
4444.81,0.051512224,0,0,0,0.052583026,0.04379562
4504.88,0.048873075,0,0,0,0.052003214,0.044659022
4564.94,0.049056536,0,0,0,0.052045037,0.04406882
4625.02,0.042150133,0,0,0,0.052723261,0.044437727
4685.05,0.04336566,0,0,0,0.05229284,0.043661548
4745.11,0.049175926,0,0,0,0.052565277,0.044384058
4805.18,0.051973801,0,0,0,0.052396239,0.043256233
4865.22,0.056227547,0,0,0,0.051761735,0.043883378
