Time,Van,OC6,IPTG,Sponge Circuit + mutagenised mScarlet-I,Sponge Circuit + mScarlet-I,Sponge Circuit,Negative Control Sponge Circuit + mScarlet
1.33,0,0,0,0.042858944,0.041859963,0.043568735,0.042593706
1.35,0,0,0,0.042790227,0.042210947,0.04338367,0.042525515
1.37,0,0,0,0.043222506,0.041746949,0.043091214,0.042597765
1.38,0,0,0,0.04320673,0.042129327,0.043794672,0.042615061
1.4,0,0,0,0.042410714,0.041777683,0.043418072,0.042947242
1.42,0,0,0,0.042952513,0.041889865,0.043667007,0.042761209
1.43,0,0,0,0.042923289,0.041435597,0.043429145,0.04270217
1.45,0,0,0,0.043702122,0.041574803,0.043599141,0.042813152
1.47,0,0,0,0.042993433,0.042056075,0.044063492,0.042306216
1.48,0,0,0,0.043252814,0.041876047,0.043272228,0.042253521
1.5,0,0,0,0.042558336,0.041718427,0.043261439,0.042376199
1.52,0,0,0,0.042384106,0.042157073,0.043385042,0.042363112
1.53,0,0,0,0.042463102,0.041987551,0.043005498,0.042344336
1.55,0,0,0,0.042519685,0.042023018,0.042955952,0.042298101
1.57,0,0,0,0.043385312,0.041831426,0.042969221,0.042518319
1.58,0,0,0,0.042054958,0.04227268,0.042850265,0.042085127
1.6,0,0,0,0.042307692,0.041922919,0.042915368,0.041803356
1.62,0,0,0,0.042905487,0.042269893,0.042492242,0.042284512
1.63,0,0,0,0.041755635,0.042147201,0.042388981,0.041811847
1.65,0,0,0,0.042312277,0.041764766,0.043156007,0.041846776
1.67,0,0,0,0.042158715,0.041666667,0.042748273,0.042563459
1.69,0,0,0,0.042310435,0.041151449,0.042359882,0.042034781
1.7,0,0,0,0.041713897,0.041873669,0.042704626,0.041635894
1.72,0,0,0,0.042064787,0.0417802,0.042343387,0.041283987
1.74,0,0,0,0.042800623,0.042179803,0.041905855,0.042048717
1.75,0,0,0,0.041277697,0.041535433,0.042599861,0.042081031
1.77,0,0,0,0.041982106,0.04230067,0.04211848,0.042250905
1.79,0,0,0,0.042226047,0.042174695,0.04221968,0.042644126
1.8,0,0,0,0.042310822,0.041906809,0.041867234,0.041674216
1.82,0,0,0,0.041625042,0.041735417,0.042111173,0.041629761
1.84,0,0,0,0.042136097,0.041507634,0.041968162,0.04066862
1.85,0,0,0,0.041648057,0.041560976,0.042078097,0.0408567
1.87,0,0,0,0.041053197,0.041854097,0.041906236,0.041865921
1.89,0,0,0,0.041620667,0.041475535,0.041447368,0.041097076
1.9,0,0,0,0.04147715,0.042353411,0.041222381,0.041582418
1.92,0,0,0,0.041771736,0.042015172,0.041630053,0.041893703
1.94,0,0,0,0.041721133,0.041710615,0.041795324,0.041249569
1.95,0,0,0,0.041774892,0.041442611,0.041671119,0.041222947
1.97,0,0,0,0.041824683,0.042056075,0.041898527,0.040317907
1.99,0,0,0,0.041482599,0.041785919,0.041779121,0.041779802
2,0,0,0,0.041492888,0.041887248,0.041666667,0.040936163
2.02,0,0,0,0.041352596,0.041423408,0.041979337,0.040928375
2.04,0,0,0,0.040839076,0.042101271,0.041666667,0.040641004
2.05,0,0,0,0.041060559,0.041196133,0.041626331,0.040575916
2.07,0,0,0,0.040936276,0.040205304,0.041472704,0.040378903
2.09,0,0,0,0.040506584,0.04190229,0.041090147,0.040431267
2.1,0,0,0,0.041427528,0.041216523,0.041390205,0.04138104
2.12,0,0,0,0.040409105,0.040907891,0.041198108,0.04069483
2.14,0,0,0,0.040483806,0.041168191,0.041503441,0.041087963
2.15,0,0,0,0.040861964,0.040796715,0.041264904,0.040454618
2.17,0,0,0,0.040099293,0.040580948,0.041462141,0.039776587
2.19,0,0,0,0.04039204,0.040903281,0.041384343,0.040203762
2.2,0,0,0,0.041066353,0.041547789,0.041293946,0.040528774
2.22,0,0,0,0.040244375,0.041185729,0.041452947,0.040039583
2.24,0,0,0,0.040015136,0.039873827,0.041249871,0.039869628
2.25,0,0,0,0.040648855,0.041322314,0.040920716,0.039245557
2.27,0,0,0,0.039460585,0.041297428,0.040701826,0.040116977
2.29,0,0,0,0.03999249,0.04053281,0.040820451,0.038474846
2.3,0,0,0,0.039627465,0.040728832,0.040994555,0.039584544
2.32,0,0,0,0.039280306,0.039527239,0.040438588,0.039388721
2.34,0,0,0,0.040308909,0.04031355,0.040716775,0.038675911
2.35,0,0,0,0.039726151,0.040719542,0.040682022,0.039964802
2.37,0,0,0,0.040130152,0.040876631,0.040612184,0.039797342
