exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,-0.006572823,0.5,3767,37,0.22565,30,34.1875,36.47,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8463,0.051045728,0.020441924,0,0,0,0,0,0,0,0,0,0,5,2
60.26,0.028396285,0.5,3767,37,0.2495,30.25,34.25,36.37,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8460,0.05177305,0.020685579,0,0,0,0,0,0,0,0,0,0,5,2
120.34,0.02949488,0.5,3767,37,0.1918,30.625,34.25,36.61,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8515,0.051673517,0.020317087,0,0,0,0,0,0,0,0,0,0,5,2
180.41,0.031754903,0.5,3767,37,0.1531,30.8125,34.375,36.53,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8539,0.051528282,0.020259984,0,0,0,0,0,0,0,0,0,0,5,2
240.48,0.020036333,0.5,3767,37,0.1765,31.0625,34.375,36.61,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8530,0.051465416,0.02028136,0,0,0,0,0,0,0,0,0,0,5,2
300.54,0.013223433,0.5,3767,37,0.1837,31.1875,34.4375,36.77,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8513,0.051333255,0.019851991,0,0,0,0,0,0,0,0,0,0,5,2
360.6,-0.002212403,0.5,3767,37,0.1576,31.3125,34.4375,36.77,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8546,0.051135034,0.020009361,0,0,0,0,0,0,0,0,0,0,5,2
420.68,-0.037163422,0.5,3767,37,0.2348,31.4375,34.5,36.63,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8542,0.051158979,0.020252868,0,0,0,0,0,0,0,0,0,0,5,2
480.75,-0.02261829,0.5,3767,37,0.1681,31.5,34.4375,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8597,0.051064325,0.020472258,0,0,0,0,0,0,0,0,0,0,5,2
540.82,0.001800455,0.5,3767,37,0.159,31.625,34.4375,36.61,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8546,0.051252048,0.020126375,0,0,0,0,0,0,0,0,0,0,5,2
600.9,0.02516294,0.5,3767,37,0.2103,31.6875,34.375,36.89,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8486,0.051496583,0.019679472,0,0,0,0,0,0,0,0,0,0,5,9.811998794
660.97,0.039250624,0.5,3767,37,0.2125,31.8125,34.375,36.97,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8543,0.051270046,0.019782278,0,0,0,0,0,0,0,0,0,0,5,10.65518407
721.05,0.039085409,0.5,3767,37,0.1566,31.8125,34.4375,36.97,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8489,0.051242785,0.020497114,0,0,0,0,0,0,0,0,0,0,5,10.10977051
781.13,0.043330913,0.5,3767,37,0.1566,31.875,34.4375,37.05,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8506,0.051493064,0.02022102,0,0,0,0,0,0,0,0,0,0,5,9.913633211
841.2,0.040978981,0.5,3767,37,0.1607,31.875,34.4375,37.01,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8521,0.051050346,0.020302781,0,0,0,0,0,0,0,0,0,0,5,9.250530446
901.24,0.046481082,0.5,3767,37,0.148,31.9375,34.5,37.01,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8557,0.051303027,0.019516186,0,0,0,0,0,0,0,0,0,0,5,9.165962272
961.28,-0.027620389,0.5,3767,37,0.2107,32,34.5,36.85,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8613,0.050505051,0.02020202,0,0,0,0,0,0,0,0,0,0,5,9.165962272
1021.36,-0.026907398,0.5,3767,37,0.1507,32.0625,34.5,37.09,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8615,0.051073709,0.019384794,0,0,0,0,0,0,0,0,0,0,5,9.165962272
1081.44,-0.024665964,0.5,3767,37,0.1707,32.1875,34.5625,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8603,0.050679995,0.019528072,0,0,0,0,0,0,0,0,0,0,5,9.165962272
1141.48,-0.025886857,0.5,3767,37,0.1572,32.25,34.5625,36.77,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8573,0.051323924,0.019829698,0,0,0,0,0,0,0,0,0,0,5,9.165962272
1201.55,-0.015002241,0.5,3767,37,0.1189,32.1875,34.625,36.85,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8534,0.051089759,0.02050621,0,0,0,0,0,0,0,0,0,0,5,9.165962272
1261.58,0.001961282,0.5,3767,37,0.118,32.1875,34.5625,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8563,0.051150298,0.019852855,0,0,0,0,0,0,0,0,0,0,5,9.165962272
1321.62,0.00127367,0.5,3767,37,0.1492,32.25,34.5625,36.85,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8534,0.051206937,0.01980314,0,0,0,0,0,0,0,0,0,0,5,7.412576013
1381.65,0.002066474,0.5,3767,37,0.1501,32.25,34.5,36.79,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8524,0.051618958,0.020061004,0,0,0,0,0,0,0,0,0,0,5,8.493770937
1441.72,-0.024818838,0.5,3767,37,0.1539,32.3125,34.5,36.95,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8582,0.051503146,0.019925425,0,0,0,0,0,0,0,0,0,0,5,8.493770937
1501.76,-0.023950795,0.5,3767,37,0.1834,32.375,34.5,36.95,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8578,0.051527163,0.020284449,0,0,0,0,0,0,0,0,0,0,5,8.493770937
1561.84,-0.0255814,0.5,3767,37,0.1519,32.375,34.5,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8585,0.051252184,0.020733838,0,0,0,0,0,0,0,0,0,0,5,8.493770937
