exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.007493865,0.5,6306,37,0.0391,32,34.5625,37.11,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10020,0.038622754,0.016067864,0,0,0,0,0,0,0,0,0,0,5,2
60.24,0.004891256,0.5,6306,37,0.08515,32.0625,34.5625,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10092,0.038248117,0.016052319,0,0,0,0,0,0,0,0,0,0,5,2
120.3,0.008993736,0.5,6306,37,0.12645,32.125,34.625,36.47,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10131,0.038791827,0.01579311,0,0,0,0,0,0,0,0,0,0,5,2
180.37,0.003559379,0.5,6306,37,0.20285,32.0625,34.625,36.65,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10048,0.038316083,0.016023089,0,0,0,0,0,0,0,0,0,0,5,2
240.44,0.000992279,0.5,6306,37,0.18365,32.3125,34.625,36.57,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10096,0.038530111,0.01594691,0,0,0,0,0,0,0,0,0,0,5,2
300.51,0.008001525,0.5,6306,37,0.15375,32.125,34.625,36.65,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10109,0.038480562,0.015728559,0,0,0,0,0,0,0,0,0,0,5,2
360.57,0.007268577,0.5,6306,37,0.18655,32.3125,34.6875,36.93,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10090,0.038949455,0.016154609,0,0,0,0,0,0,0,0,0,0,5,1.611785095
420.64,0.008193667,0.5,6306,37,0.12105,32.375,34.75,37.01,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10166,0.038363171,0.015935471,0,0,0,0,0,0,0,0,0,0,5,1.890598946
480.69,0.010767235,0.5,6306,37,0.15025,32.375,34.625,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10169,0.038253516,0.01593077,0,0,0,0,0,0,0,0,0,0,5,2.615507648
540.73,0.010557586,0.5,6306,37,0.13565,32.375,34.6875,36.85,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10213,0.038480368,0.01615588,0,0,0,0,0,0,0,0,0,0,5,2.425742949
600.78,0.009608712,0.5,6306,37,0.21695,32.4375,34.6875,37.03,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10185,0.038389789,0.015513009,0,0,0,0,0,0,0,0,0,0,5,2.021932359
660.81,0.010409419,0.5,6306,37,0.11695,32.4375,34.6875,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10236,0.038393904,0.015631106,0,0,0,0,0,0,0,0,0,0,5,2.16095848
720.84,0.013219689,0.5,6306,37,0.20825,32.5,34.6875,36.81,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10138,0.038469126,0.016078122,0,0,0,0,0,0,0,0,0,0,5,2.769899289
780.89,0.005998593,0.5,6306,37,0.13265,32.5,34.6875,36.89,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10183,0.038495532,0.016007071,0,0,0,0,0,0,0,0,0,0,5,0.260857103
840.93,0.007183455,0.5,6306,37,0.17595,32.4375,34.6875,36.85,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10216,0.038469068,0.015955364,0,0,0,0,0,0,0,0,0,0,5,0.788580839
900.98,0.006575416,0.5,6306,37,0.15155,32.4375,34.75,36.89,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10233,0.038698329,0.015831135,0,0,0,0,0,0,0,0,0,0,5,0.483823982
961.06,0.005367279,0.5,6306,37,0.15305,32.5,34.75,36.85,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10234,0.038303694,0.015927301,0,0,0,0,0,0,0,0,0,0,5,-0.149417635
1021.13,0.005935517,0.5,6306,37,0.14925,32.5625,34.75,36.97,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10151,0.038715397,0.015959019,0,0,0,0,0,0,0,0,0,0,5,0.159952312
1081.18,0.006218183,0.5,6306,37,0.15575,32.625,34.8125,36.73,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10260,0.038596491,0.015984405,0,0,0,0,0,0,0,0,0,0,5,0.291525838
1141.26,0.002409121,0.5,6306,37,0.14925,32.625,34.8125,36.79,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10310,0.038409311,0.01600388,0,0,0,0,0,0,0,0,0,0,5,-2.567698406
1201.33,0.004502638,0.5,6306,37,0.14955,32.6875,34.875,36.85,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10223,0.03893182,0.01584662,0,0,0,0,0,0,0,0,0,0,5,-0.563108824
1261.36,0.007758276,0.5,6306,37,0.23465,32.625,34.8125,37.01,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10244,0.038559157,0.015911753,0,0,0,0,0,0,0,0,0,0,5,1.097336947
1321.44,0.005204192,0.5,6306,37,0.15965,32.5,34.75,37.03,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10251,0.038337723,0.015998439,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1381.51,-0.005665588,0.5,6223,37,0.15875,32.5625,34.8125,37.03,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10286,0.038790589,0.015749563,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1441.59,-0.002985238,0.5,6236,37,0.16585,32.625,34.8125,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10248,0.038446526,0.016003123,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1501.64,-0.001766212,0.5,6236,37,0.15705,32.625,34.8125,36.95,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10208,0.038597179,0.016163793,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1561.68,-0.003719196,0.5,6236,37,0.11995,32.625,34.8125,37.01,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10254,0.03842403,0.016188804,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1621.75,-0.004735983,0.5,6236,37,0.12435,32.75,34.875,36.95,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10383,0.038235577,0.016180295,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1681.79,-0.005466152,0.5,6236,37,0.12405,32.6875,34.8125,36.87,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10419,0.038199443,0.015740474,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1741.84,-0.002060448,0.5,6236,37,0.15495,32.6875,34.875,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10185,0.038487973,0.016200295,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1801.88,-0.001195977,0.5,6236,37,0.14555,32.75,34.8125,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10328,0.03834237,0.015879163,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1861.95,0.001906697,0.5,6236,37,0.16175,32.8125,34.8125,36.81,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10288,0.038491446,0.016329705,0,0,0,0,0,0,0,0,0,0,5,-0.155416802
1922.03,0.002895251,0.5,6236,37,0.17915,32.75,34.9375,37.03,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10318,0.038476449,0.016088389,0,0,0,0,0,0,0,0,0,0,5,1.105451804
1982.1,0.011525387,0.5,6236,37,0.10705,32.8125,34.9375,36.93,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10384,0.038520801,0.015986133,0,0,0,0,0,0,0,0,0,0,5,5.194620022
2042.17,0.007591043,0.5,6236,37,0.13435,32.8125,34.875,37.11,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10348,0.038558175,0.01594511,0,0,0,0,0,0,0,0,0,0,5,3.682139575
2102.25,0.005976637,0.5,6236,37,0.16585,32.75,34.875,36.95,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10439,0.038317847,0.015997701,0,0,0,0,0,0,0,0,0,0,5,2.780699766
2162.33,0.006764617,0.5,6236,37,0.11345,32.6875,34.8125,37.03,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10360,0.038416988,0.016216216,0,0,0,0,0,0,0,0,0,0,5,3.013207607
2222.4,0.003615457,0.5,6236,37,0.16375,32.8125,34.875,36.95,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10411,0.038324849,0.015944674,0,0,0,0,0,0,0,0,0,0,5,0.983085092
2282.48,0.004644793,0.5,6236,37,0.13135,32.8125,34.875,36.79,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10430,0.038446788,0.016107383,0,0,0,0,0,0,0,0,0,0,5,1.685516135
2342.52,0.003031147,0.5,6236,37,0.12985,32.6875,34.875,36.89,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10447,0.038479946,0.01598545,0,0,0,0,0,0,0,0,0,0,5,0.320823718
2402.56,0.008227809,0.5,6236,37,0.17755,32.8125,34.875,36.93,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10429,0.038450475,0.016013041,0,0,0,0,0,0,0,0,0,0,5,3.300518044
2462.61,0.006222254,0.5,6236,37,0.16345,32.75,34.8125,36.85,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10374,0.038943513,0.016001542,0,0,0,0,0,0,0,0,0,0,5,2.297329631
2522.65,0.012637825,0.5,6236,37,0.14085,32.8125,34.875,37.01,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10475,0.038377088,0.015942721,0,0,0,0,0,0,0,0,0,0,5,4.308149532
2582.7,0.005741657,0.5,6236,37,0.10435,32.8125,34.875,37.17,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10571,0.038123167,0.015703339,0,0,0,0,0,0,0,0,0,0,5,1.725902377
2642.74,0.003039368,0.5,6236,37,0.11695,32.8125,34.875,36.81,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10477,0.038751551,0.015748783,0,0,0,0,0,0,0,0,0,0,5,-0.268686966
2702.78,0.011414219,0.5,6236,37,0.17645,32.6875,34.875,36.93,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10458,0.038439472,0.015968636,0,0,0,0,0,0,0,0,0,0,5,3.714378023
2762.83,0.00385266,0.5,6236,37,0.13965,32.8125,34.875,37.03,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10638,0.038165069,0.015322429,0,0,0,0,0,0,0,0,0,0,5,0.270370962
2822.9,0.003629538,0.5,6236,37,0.15375,32.8125,34.875,36.85,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10420,0.038867562,0.016122841,0,0,0,0,0,0,0,0,0,0,5,0.077877347
2882.97,0.003553887,0.5,6236,37,0.10105,32.75,34.875,36.87,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10483,0.038443194,0.016121339,0,0,0,0,0,0,0,0,0,0,5,0.010792655
2943.05,0.004640662,0.5,6236,37,0.13925,32.6875,34.875,36.71,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10424,0.03856485,0.016116654,0,0,0,0,0,0,0,0,0,0,5,0.810698236
3003.11,0.012609213,0.5,6236,37,0.15725,32.75,34.875,36.93,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10534,0.038257072,0.016043288,0,0,0,0,0,0,0,0,0,0,5,3.768875569
3063.16,0.013939541,0.5,6236,37,0.11785,32.8125,34.9375,36.93,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10562,0.038723727,0.01571672,0,0,0,0,0,0,0,0,0,0,5,3.881337203
3123.23,0.012545212,0.5,6236,37,0.14375,32.875,34.8125,37.01,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10515,0.038421303,0.016072278,0,0,0,0,0,0,0,0,0,0,5,3.371099096
3183.27,0.014201722,0.5,6236,37,0.12285,32.75,34.8125,37.01,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10510,0.038439581,0.016079924,0,0,0,0,0,0,0,0,0,0,5,3.574616503
3243.32,0.012001185,0.5,6236,37,0.13165,32.75,34.75,36.85,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10664,0.037978245,0.015941485,0,0,0,0,0,0,0,0,0,0,5,2.890812221
3303.4,0.012052155,0.5,6236,37,0.19255,32.8125,34.875,36.97,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10644,0.038519354,0.015971439,0,0,0,0,0,0,0,0,0,0,5,2.758985901
3363.43,0.015845556,0.5,6236,37,0.13165,32.8125,34.8125,36.95,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10623,0.038124823,0.015814742,0,0,0,0,0,0,0,0,0,0,5,3.441973343
3423.48,0.014419332,0.5,6236,37,0.15165,32.8125,34.75,36.87,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10538,0.038242551,0.016037199,0,0,0,0,0,0,0,0,0,0,5,2.986916818
3483.55,0.014840031,0.5,6236,37,0.17375,32.8125,34.75,37.03,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10533,0.038545524,0.015949872,0,0,0,0,0,0,0,0,0,0,5,2.923846524
3543.58,0.015376061,0.5,6236,37,0.14285,32.875,34.6875,36.89,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10645,0.038703617,0.015969939,0,0,0,0,0,0,0,0,0,0,5,2.884104695
