exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,-0.003955018,0.5,6792,37,0.37445,30,34.25,35.81,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7840,0.038647959,0.01619898,0,0,0,0,0,0,0,0,0,0,5,2
60.26,0.01769125,0.5,6792,37,0.3287,30.875,34.1875,36.01,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7874,0.038989078,0.015748031,0,0,0,0,0,0,0,0,0,0,5,2
120.34,-0.005745526,0.5,6792,37,0.2635,31.4375,34.3125,36.29,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7842,0.039148176,0.016322367,0,0,0,0,0,0,0,0,0,0,5,2
180.42,0.015558038,0.5,6792,37,0.2544,31.8125,34.3125,36.63,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7948,0.039380976,0.015853045,0,0,0,0,0,0,0,0,0,0,5,2
240.5,0.016030637,0.5,6792,37,0.2293,32.0625,34.375,36.55,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7881,0.038700673,0.016114706,0,0,0,0,0,0,0,0,0,0,5,2
300.57,0.03052615,0.5,6792,37,0.1912,32.3125,34.375,36.85,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7886,0.03931017,0.015977682,0,0,0,0,0,0,0,0,0,0,5,2
360.64,0.00633322,0.5,6792,37,0.2246,32.375,34.4375,36.63,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7869,0.039013852,0.016139281,0,0,0,0,0,0,0,0,0,0,5,-2.818324602
420.72,0.030815912,0.5,6792,37,0.1664,32.5625,34.5,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7890,0.039543726,0.016096324,0,0,0,0,0,0,0,0,0,0,5,2.06925869
480.79,0.031819538,0.5,6792,37,0.2298,32.625,34.4375,36.79,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7846,0.039765486,0.016059138,0,0,0,0,0,0,0,0,0,0,5,2.061943651
540.87,0.027689052,0.5,6792,37,0.1563,32.625,34.4375,36.79,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7873,0.039248063,0.015623015,0,0,0,0,0,0,0,0,0,0,5,1.541716279
600.93,0.03240231,0.5,6792,37,0.1787,32.6875,34.4375,36.87,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7934,0.039576506,0.016007058,0,0,0,0,0,0,0,0,0,0,5,1.936208286
660.99,0.02744857,0.5,6792,37,0.1882,32.75,34.4375,36.79,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7920,0.039646465,0.015782828,0,0,0,0,0,0,0,0,0,0,5,1.341650979
721.07,0.020544209,0.5,6792,37,0.2112,32.75,34.4375,36.65,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7873,0.039375079,0.016004065,0,0,0,0,0,0,0,0,0,0,5,0.405363527
781.14,0.028003237,0.5,6792,37,0.2157,32.8125,34.4375,36.87,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7925,0.039242902,0.016025237,0,0,0,0,0,0,0,0,0,0,5,1.314318421
841.22,0.004797169,0.5,6792,37,0.2178,32.875,34.4375,36.79,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7965,0.039548023,0.016070308,0,0,0,0,0,0,0,0,0,0,5,-4.044280166
901.26,0.013938285,0.5,6792,37,0.1584,32.9375,34.5,37.09,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7932,0.039334342,0.016137166,0,0,0,0,0,0,0,0,0,0,5,-0.642225792
961.29,0.023734695,0.5,6792,37,0.2223,32.9375,34.5,36.81,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7977,0.039237809,0.016046133,0,0,0,0,0,0,0,0,0,0,5,0.986781064
1021.37,0.026956198,0.5,6792,37,0.2132,33,34.5,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7888,0.039426978,0.015973631,0,0,0,0,0,0,0,0,0,0,5,1.319268121
1081.43,0.031835085,0.5,6792,37,0.1417,33.0625,34.5,37.05,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7988,0.039183776,0.015523285,0,0,0,0,0,0,0,0,0,0,5,1.752371892
1141.48,0.016428178,0.5,6792,37,0.1502,33.0625,34.5625,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,7918,0.039909068,0.016039404,0,0,0,0,0,0,0,0,0,0,5,-0.319959501
1201.56,0.030107236,0.5,6792,37,0.2117,33.0625,34.5625,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8000,0.03975,0.016125,0,0,0,0,0,0,0,0,0,0,5,1.513340955
