exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.000870843,0.5,6404,37,0.18245,30.8125,34.1875,36.65,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11737,0.031779842,0.014058107,0,0,0,0,0,0,0,0,0,0,5,2
60.25,-0.000527894,0.5,6404,37,0.1347,30.8125,34.1875,36.49,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11668,0.031710662,0.013712719,0,0,0,0,0,0,0,0,0,0,5,2
120.33,0.000248759,0.5,6404,37,0.1793,30.9375,34.25,36.69,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11607,0.031877315,0.01387094,0,0,0,0,0,0,0,0,0,0,5,2
180.42,-0.000806885,0.5,6404,37,0.1868,31.1875,34.3125,36.81,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11605,0.031968979,0.013528651,0,0,0,0,0,0,0,0,0,0,5,2
240.53,-9.26E-05,0.5,6404,37,0.1707,31.25,34.3125,36.65,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11533,0.031995144,0.013526402,0,0,0,0,0,0,0,0,0,0,5,2
300.61,-0.001237767,0.5,6404,37,0.1175,31.3125,34.375,36.65,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11582,0.031687101,0.013555517,0,0,0,0,0,0,0,0,0,0,5,2
360.69,-0.001705034,0.5,6404,37,0.1747,31.375,34.4375,36.61,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11563,0.031912134,0.013577791,0,0,0,0,0,0,0,0,0,0,5,2
420.77,-0.003378732,0.5,6404,37,0.1639,31.4375,34.4375,36.89,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11688,0.031741958,0.013945927,0,0,0,0,0,0,0,0,0,0,5,2
480.85,-0.004367902,0.5,6404,37,0.1413,31.625,34.4375,36.95,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11595,0.031824062,0.013885295,0,0,0,0,0,0,0,0,0,0,5,2
540.93,-0.004859726,0.5,6404,37,0.1487,31.625,34.5,36.73,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11601,0.031635204,0.013447117,0,0,0,0,0,0,0,0,0,0,5,2
601.01,-0.003193377,0.5,6404,37,0.109,31.5,34.4375,36.93,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11537,0.031637341,0.013521713,0,0,0,0,0,0,0,0,0,0,5,2
661.07,-0.004152261,0.5,6404,37,0.1549,31.5,34.4375,36.97,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11664,0.031721536,0.013888889,0,0,0,0,0,0,0,0,0,0,5,2
721.15,-0.008003479,0.5,6404,37,0.1343,31.5625,34.4375,36.81,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11593,0.031484517,0.013456396,0,0,0,0,0,0,0,0,0,0,5,2
781.26,-0.006218789,0.5,6404,37,0.1305,31.5625,34.4375,36.69,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11597,0.031646115,0.013451755,0,0,0,0,0,0,0,0,0,0,5,2
841.34,-0.006588413,0.5,6404,37,0.1935,31.625,34.4375,36.77,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11518,0.031515888,0.013457197,0,0,0,0,0,0,0,0,0,0,5,2
901.42,-0.003255449,0.5,6404,37,0.0982,31.625,34.5,36.97,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11493,0.031932481,0.014008527,0,0,0,0,0,0,0,0,0,0,5,2
961.48,-0.007142598,0.5,6404,37,0.1473,31.625,34.5,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11525,0.03175705,0.013709328,0,0,0,0,0,0,0,0,0,0,5,2
1021.52,-0.005293085,0.5,6404,37,0.2018,31.6875,34.5,36.95,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11540,0.031889081,0.013518198,0,0,0,0,0,0,0,0,0,0,5,2
1081.6,-0.005725051,0.5,6404,37,0.1333,31.75,34.5625,36.97,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11545,0.032135123,0.013772196,0,0,0,0,0,0,0,0,0,0,5,2
1141.65,-0.007788389,0.5,6404,37,0.107,31.75,34.5,37.01,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11691,0.031391669,0.013514669,0,0,0,0,0,0,0,0,0,0,5,2
1201.72,-0.000807319,0.5,6404,37,0.127,31.75,34.5625,36.81,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11570,0.031460674,0.013656007,0,0,0,0,0,0,0,0,0,0,5,2
1261.79,-0.004522901,0.5,6404,37,0.1323,31.75,34.625,36.89,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11610,0.031869078,0.013436693,0,0,0,0,0,0,0,0,0,0,5,2
1321.86,-0.00130348,0.5,6404,37,0.1058,31.75,34.5625,37.09,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11568,0.031552559,0.013744813,0,0,0,0,0,0,0,0,0,0,5,2
1381.9,-0.003193228,0.5,6404,37,0.1461,31.8125,34.5,36.97,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11550,0.031861472,0.013766234,0,0,0,0,0,0,0,0,0,0,5,2
1441.97,-0.000590031,0.5,6404,37,0.1111,31.8125,34.5,36.71,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11535,0.031902904,0.013437365,0,0,0,0,0,0,0,0,0,0,5,2
1502.08,-0.001086819,0.5,6404,37,0.1894,31.8125,34.5,36.79,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11556,0.032017999,0.013932156,0,0,0,0,0,0,0,0,0,0,5,2
1562.15,0.000497658,0.5,6404,37,0.1123,31.8125,34.5,36.87,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11629,0.03138705,0.013328747,0,0,0,0,0,0,0,0,0,0,5,2
1622.22,-0.003626632,0.5,6404,37,0.1538,31.8125,34.5,36.93,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11482,0.031440516,0.01349939,0,0,0,0,0,0,0,0,0,0,5,2
1682.27,-0.002047875,0.5,6404,37,0.1541,31.875,34.5625,37.17,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11496,0.031924148,0.013743911,0,0,0,0,0,0,0,0,0,0,5,2
1742.35,-0.003285856,0.5,6404,37,0.1082,31.9375,34.5625,37.05,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11467,0.032004884,0.013517049,0,0,0,0,0,0,0,0,0,0,5,2
1802.43,-0.000682418,0.5,6404,37,0.1108,32,34.625,36.89,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11533,0.031561606,0.013873233,0,0,0,0,0,0,0,0,0,0,5,2
1862.51,-0.002543336,0.5,6404,37,0.1308,31.9375,34.625,37.05,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11427,0.032029404,0.013826901,0,0,0,0,0,0,0,0,0,0,5,2
1922.58,-0.000185826,0.5,6404,37,0.1337,31.9375,34.625,36.85,0,0,0,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11550,0.031428571,0.013766234,0,0,0,0,0,0,0,0,0,0,5,2
1982.63,0.004364321,0.5,6404,37,0.1664,32,34.6875,37.01,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11508,0.032064651,0.013903372,0,0,0,0,0,0,0,0,0,0,5,2
2042.67,0.004647223,0.5,6404,37,0.1741,32,34.75,36.95,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11573,0.032057375,0.013738875,0,0,0,0,0,0,0,0,0,0,5,2.088421709
2102.73,0.004614502,0.5,6404,37,0.061,32,34.6875,36.89,0,0,0,0,0,20,0.5,0.101,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,11511,0.032143167,0.013812875,0,0,0,0,0,0,0,0,0,0,5,1.962803207
